PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS WHEN CARD WITH ISA ID = 9999 IS FOUND
READING FORMAT: (2I8,2X,A8,F6.2,3F11.5,F14.5)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
 
  ISA ID  PDG ID  LABEL   CHARGE       MASS      WIDTH      W-CUT   C*LIFET(MM)
 
$PRBEG
    2300    3101  DS0.      -.67                .00000     .00000        .00000
   -2300   -3101  ADS0.      .67                .00000     .00000        .00000
    1400    4201  UC0.      1.33                .00000     .00000        .00000
   -1400   -4201  AUC0.    -1.33                .00000     .00000        .00000
    2400    4101  DC0.       .33                .00000     .00000        .00000
   -2400   -4101  ADC0.     -.33                .00000     .00000        .00000
    3400    4301  SC0.       .33                .00000     .00000        .00000
   -3400   -4301  ASC0.     -.33                .00000     .00000        .00000
    1500    5201  UB0.       .33                .00000     .00000        .00000
   -1500   -5201  AUB0.     -.33                .00000     .00000        .00000
    2500    5101  DB0.      -.67                .00000     .00000        .00000
   -2500   -5101  ADB0.      .67                .00000     .00000        .00000
    3500    5301  SB0.      -.67                .00000     .00000        .00000
   -3500   -5301  ASB0.      .67                .00000     .00000        .00000
    4500    5401  CB0.       .33                .00000     .00000        .00000
   -4500   -5401  ACB0.     -.33                .00000     .00000        .00000
    1600    6201  UT0.      1.33                .00000     .00000        .00000
   -1600   -6201  AUT0.    -1.33                .00000     .00000        .00000
    2600    6101  DT0.       .33                .00000     .00000        .00000
   -2600   -6101  ADT0.     -.33                .00000     .00000        .00000
    3600    6301  ST0.       .33                .00000     .00000        .00000
   -3600   -6301  AST0.     -.33                .00000     .00000        .00000
    4600    6401  CT0.      1.33                .00000     .00000        .00000
   -4600   -6401  CT0.     -1.33                .00000     .00000        .00000
    5600    6501  BT0.       .33                .00000     .00000        .00000
   -5600   -6501  ABT0.     -.33                .00000     .00000        .00000
    1101    2203  UU1.      1.33                .00000     .00000        .00000
   -1101   -2203  AUU1.    -1.33                .00000     .00000        .00000
    1201    2103  UD1.       .33                .00000     .00000        .00000
   -1201   -2103  AUD1.     -.33                .00000     .00000        .00000
    2201    1103  DD1.      -.67                .00000     .00000        .00000
   -2201   -1103  ADD1.      .67                .00000     .00000        .00000
    1301    3203  US1.       .33                .00000     .00000        .00000
   -1301   -3203  AUS1.     -.33                .00000     .00000        .00000
    2301    3103  DS1.      -.67                .00000     .00000        .00000
   -2301   -3103  ADS1.      .67                .00000     .00000        .00000
    3301    3303  SS1.      -.67                .00000     .00000        .00000
   -3301   -3303  ASS1.      .67                .00000     .00000        .00000
    1401    4203  UC1.      1.33                .00000     .00000        .00000
   -1401   -4203  AUC1.    -1.33                .00000     .00000        .00000
    2401    4103  DC1.       .33                .00000     .00000        .00000
   -2401   -4103  ADC1.     -.33                .00000     .00000        .00000
